datetime;demand
2022-04-30T00:00:00.000+02:00;24130
2022-04-30T00:10:00.000+02:00;24073
2022-04-30T00:20:00.000+02:00;23766
2022-04-30T00:30:00.000+02:00;23599
2022-04-30T00:40:00.000+02:00;23368
2022-04-30T00:50:00.000+02:00;23146
2022-04-30T01:00:00.000+02:00;22808
2022-04-30T01:10:00.000+02:00;22689
2022-04-30T01:20:00.000+02:00;22186
2022-04-30T01:30:00.000+02:00;22219
2022-04-30T01:40:00.000+02:00;22079
2022-04-30T01:50:00.000+02:00;21873
2022-04-30T02:00:00.000+02:00;21410
2022-04-30T02:10:00.000+02:00;21411
2022-04-30T02:20:00.000+02:00;21422
2022-04-30T02:30:00.000+02:00;21136
2022-04-30T02:40:00.000+02:00;21064
2022-04-30T02:50:00.000+02:00;20817
2022-04-30T03:00:00.000+02:00;20734
2022-04-30T03:10:00.000+02:00;20546
2022-04-30T03:20:00.000+02:00;20513
2022-04-30T03:30:00.000+02:00;20406
2022-04-30T03:40:00.000+02:00;20291
2022-04-30T03:50:00.000+02:00;20264
2022-04-30T04:00:00.000+02:00;20431
2022-04-30T04:10:00.000+02:00;20237
2022-04-30T04:20:00.000+02:00;20293
2022-04-30T04:30:00.000+02:00;20275
2022-04-30T04:40:00.000+02:00;20072
2022-04-30T04:50:00.000+02:00;20299
2022-04-30T05:00:00.000+02:00;20375
2022-04-30T05:10:00.000+02:00;20296
2022-04-30T05:20:00.000+02:00;20152
2022-04-30T05:30:00.000+02:00;20039
2022-04-30T05:40:00.000+02:00;20165
2022-04-30T05:50:00.000+02:00;20147
2022-04-30T06:00:00.000+02:00;20202
2022-04-30T06:10:00.000+02:00;20513
2022-04-30T06:20:00.000+02:00;20584
2022-04-30T06:30:00.000+02:00;20490
2022-04-30T06:40:00.000+02:00;20684
2022-04-30T06:50:00.000+02:00;20536
2022-04-30T07:00:00.000+02:00;20705
2022-04-30T07:10:00.000+02:00;20897
2022-04-30T07:20:00.000+02:00;20880
2022-04-30T07:30:00.000+02:00;20729
2022-04-30T07:40:00.000+02:00;21034
2022-04-30T07:50:00.000+02:00;21097
2022-04-30T08:00:00.000+02:00;21476
2022-04-30T08:10:00.000+02:00;21736
2022-04-30T08:20:00.000+02:00;22134
2022-04-30T08:30:00.000+02:00;22397
2022-04-30T08:40:00.000+02:00;22796
2022-04-30T08:50:00.000+02:00;23235
2022-04-30T09:00:00.000+02:00;23435
2022-04-30T09:10:00.000+02:00;23936
2022-04-30T09:20:00.000+02:00;24106
2022-04-30T09:30:00.000+02:00;24161
2022-04-30T09:40:00.000+02:00;24486
2022-04-30T09:50:00.000+02:00;24643
2022-04-30T10:00:00.000+02:00;25048
2022-04-30T10:10:00.000+02:00;25181
2022-04-30T10:20:00.000+02:00;25351
