datetime;demand
2022-04-01T00:00:00.000+02:00;25437
2022-04-01T00:10:00.000+02:00;25430
2022-04-01T00:20:00.000+02:00;25196
2022-04-01T00:30:00.000+02:00;24898
2022-04-01T00:40:00.000+02:00;24613
2022-04-01T00:50:00.000+02:00;24138
2022-04-01T01:00:00.000+02:00;23743
2022-04-01T01:10:00.000+02:00;23625
2022-04-01T01:20:00.000+02:00;23482
2022-04-01T01:30:00.000+02:00;23225
2022-04-01T01:40:00.000+02:00;23050
2022-04-01T01:50:00.000+02:00;23058
2022-04-01T02:00:00.000+02:00;22772
2022-04-01T02:10:00.000+02:00;22603
2022-04-01T02:20:00.000+02:00;22375
2022-04-01T02:30:00.000+02:00;22413
2022-04-01T02:40:00.000+02:00;22274
2022-04-01T02:50:00.000+02:00;22355
2022-04-01T03:00:00.000+02:00;22173
2022-04-01T03:10:00.000+02:00;21996
2022-04-01T03:20:00.000+02:00;22247
2022-04-01T03:30:00.000+02:00;22048
2022-04-01T03:40:00.000+02:00;21893
2022-04-01T03:50:00.000+02:00;21640
2022-04-01T04:00:00.000+02:00;21640
2022-04-01T04:10:00.000+02:00;21899
2022-04-01T04:20:00.000+02:00;21834
2022-04-01T04:30:00.000+02:00;21711
2022-04-01T04:40:00.000+02:00;21662
2022-04-01T04:50:00.000+02:00;21738
2022-04-01T05:00:00.000+02:00;21822
2022-04-01T05:10:00.000+02:00;22004
2022-04-01T05:20:00.000+02:00;22251
2022-04-01T05:30:00.000+02:00;22091
2022-04-01T05:40:00.000+02:00;22416
2022-04-01T05:50:00.000+02:00;22487
2022-04-01T06:00:00.000+02:00;23021
2022-04-01T06:10:00.000+02:00;23997
2022-04-01T06:20:00.000+02:00;24453
2022-04-01T06:30:00.000+02:00;24672
2022-04-01T06:40:00.000+02:00;25685
2022-04-01T06:50:00.000+02:00;25939
2022-04-01T07:00:00.000+02:00;26671
2022-04-01T07:10:00.000+02:00;27982
2022-04-01T07:20:00.000+02:00;28605
2022-04-01T07:30:00.000+02:00;29168
2022-04-01T07:40:00.000+02:00;29798
2022-04-01T07:50:00.000+02:00;29964
2022-04-01T08:00:00.000+02:00;30008
2022-04-01T08:10:00.000+02:00;30682
2022-04-01T08:20:00.000+02:00;30903
2022-04-01T08:30:00.000+02:00;31286
2022-04-01T08:40:00.000+02:00;31060
2022-04-01T08:50:00.000+02:00;31136
2022-04-01T09:00:00.000+02:00;31040
